Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0001,Mission-1,2025-01-01,Star,Titan,Colonization,7.05,5.2,526.68,64.3,21,100.0,731.88,99.78,SLS
MSN-0002,Mission-2,2025-01-08,Exoplanet,Betelgeuse,Colonization,41.76,23.0,234.08,84.4,72,89.6,4197.41,45.72,Starship
MSN-0003,Mission-3,2025-01-15,Asteroid,Mars,Exploration,49.22,28.8,218.68,98.6,16,98.6,4908.0,36.12,Starship
MSN-0004,Mission-4,2025-01-22,Exoplanet,Titan,Colonization,26.33,17.8,232.89,36.0,59,90.0,2569.05,40.67,Starship
MSN-0005,Mission-5,2025-01-29,Exoplanet,Proxima b,Mining,8.67,9.2,72.14,96.5,31,73.2,892.76,12.4,Starship
MSN-0006,Mission-6,2025-02-05,Moon,Ceres,Colonization,13.69,8.8,452.42,45.1,42,100.0,1327.29,88.44,Ariane 6
MSN-0007,Mission-7,2025-02-12,Asteroid,Ceres,Research,1.02,5.0,220.38,44.7,74,95.5,211.2,42.07,SLS
MSN-0008,Mission-8,2025-02-19,Asteroid,Mars,Colonization,45.72,25.2,200.49,40.6,32,89.3,4600.53,39.34,SLS
MSN-0009,Mission-9,2025-02-26,Asteroid,Betelgeuse,Exploration,5.98,4.4,361.35,58.7,59,100.0,568.97,66.31,Ariane 6
MSN-0010,Mission-10,2025-03-05,Exoplanet,Betelgeuse,Colonization,28.87,18.9,265.98,23.9,34,99.3,2856.43,44.76,Starship
MSN-0011,Mission-11,2025-03-12,Star,Proxima b,Research,13.78,10.4,327.76,59.8,9,91.9,1373.35,65.18,Starship
MSN-0012,Mission-12,2025-03-19,Asteroid,Mars,Research,27.75,15.5,38.8,58.8,81,71.2,2763.02,7.08,SLS
MSN-0013,Mission-13,2025-03-26,Exoplanet,Ceres,Mining,32.61,19.0,436.87,78.6,11,100.0,3316.84,81.56,Ariane 6
MSN-0014,Mission-14,2025-04-02,Moon,Betelgeuse,Colonization,41.5,22.9,511.71,85.0,96,100.0,4159.32,94.11,Starship
MSN-0015,Mission-15,2025-04-09,Star,Mars,Research,10.4,9.1,343.16,49.6,10,91.2,1003.42,65.23,Starship
MSN-0016,Mission-16,2025-04-16,Moon,Io,Exploration,0.65,3.1,495.63,37.2,86,100.0,159.52,95.5,Starship
MSN-0017,Mission-17,2025-04-23,Star,Betelgeuse,Mining,6.93,8.4,110.17,33.3,17,83.7,695.47,15.99,Falcon Heavy
MSN-0018,Mission-18,2025-04-30,Exoplanet,Titan,Exploration,45.01,23.7,255.74,27.5,68,96.3,4539.44,48.26,Ariane 6
MSN-0019,Mission-19,2025-05-07,Planet,Io,Colonization,43.71,24.3,305.2,15.2,48,100.0,4340.59,60.58,Starship
MSN-0020,Mission-20,2025-05-14,Star,Betelgeuse,Colonization,29.91,17.9,329.98,40.8,52,100.0,3009.16,58.59,Falcon Heavy
MSN-0021,Mission-21,2025-05-21,Moon,Ceres,Colonization,30.07,18.0,235.36,34.3,25,97.9,3022.56,40.74,Ariane 6
MSN-0022,Mission-22,2025-05-28,Exoplanet,Europa,Mining,33.29,18.9,201.81,97.0,21,94.9,3234.52,34.47,Starship
MSN-0023,Mission-23,2025-06-04,Star,Io,Research,8.85,8.3,105.14,60.2,65,81.2,985.76,13.56,SLS
MSN-0024,Mission-24,2025-06-11,Planet,Proxima b,Mining,45.73,27.4,232.99,41.3,63,92.6,4637.53,39.78,Falcon Heavy
MSN-0025,Mission-25,2025-06-18,Planet,Proxima b,Exploration,21.0,15.3,96.59,62.2,89,77.3,2080.14,17.1,Falcon Heavy
MSN-0026,Mission-26,2025-06-25,Asteroid,Ceres,Mining,19.22,13.8,386.77,22.5,51,100.0,1866.89,73.7,Starship
MSN-0027,Mission-27,2025-07-02,Asteroid,Betelgeuse,Exploration,25.99,17.4,115.53,50.0,36,78.1,2616.38,21.67,Starship
MSN-0028,Mission-28,2025-07-09,Moon,Mars,Mining,2.44,4.4,41.36,66.4,81,67.4,248.33,6.8,Falcon Heavy
MSN-0029,Mission-29,2025-07-16,Star,Betelgeuse,Research,8.4,8.5,312.53,54.0,88,100.0,857.78,55.68,SLS
MSN-0030,Mission-30,2025-07-23,Star,Ceres,Exploration,36.93,20.7,342.72,46.2,66,95.8,3702.58,59.93,SLS
MSN-0031,Mission-31,2025-07-30,Asteroid,Proxima b,Colonization,4.23,4.7,484.77,99.4,15,100.0,448.31,87.32,Ariane 6
